Name,Category,ImageUrl
Sticker | Backstab,High Grade,http://cdn.steamcommunity.com/economy/image/zm3mTsOBzy-reSvm3qNbXXYhLP-H8cFvf7f4_DpFE_oHZtG1mp2JPQugNxj4wwfTbiZ3uI7uwWt5vP_uO1ME8Agk0q6Em5A9Hf17FPqBC9ZwPCz2je_BYHuw-u5gVwXACmrTvYjWyGAOuGNO840EwiY0b-uI79ozL7ClqXAHBKteOZjjjJmfbwy4N0ajiEjTcDI=/
Sticker | King on the Field,High Grade,http://cdn.steamcommunity.com/economy/image/GMBSaz3rLXvE7nKMUfYk0aCMmNp5myM7ECChlrUQbHbRy2WQZPdraWQ3bnJ3lnhfuIvDnXCEIz8WK6aEtAZ7fN6JZot68XJpcmoifnXUdFqmkZjTc4UjNBklq5zECHF91_l5nmH1fCI4KGh4edosTvGZiJwmjW9vFHKqxvlWenfRkyObJPQgOTcvbnx-jSEd5oiCzQ==/
Sticker | Bomb Doge,High Grade,http://cdn.steamcommunity.com/economy/image/jHpldx5c4p9O6lX3t7bbfDQ2r8ZaLOzfmiSG7VNQk9tFcVKMR0Ckje4zSQmR1ofyLDH0gVMz7NucL4H_UkaE0UozUZdZRr2N-G4FBZOUi_cyK6_PUDLs0JAtjdMZTIDbe3BDkVdA-NC8fhpVmp-A5ml77dJXYvLUzXPeu05GhIpCLBLXBkPjjet5TwLMmtKsLCy8/
Sticker | Burn Them All,High Grade,http://cdn.steamcommunity.com/economy/image/YsRzbIeoiKirQ4STo4-Va9qIud3D2Ibof41XiUdp3cyrz0SX3rTOuguamG2F78nlwo_imsrHhux5hlCbRn_KxqSNR4zAste6HcfUYYetxeDclbnUycaG52-bULcdcszElcNYlPa93a0I0dVh3fGc9tPPqJ7KxMq9KogHjlwpzJmoklCez-GI7F_XzDqJ-Jqi08yog4mZzg==/
Sticker | Llama Cannon,High Grade,http://cdn.steamcommunity.com/economy/image/Oga-pHqdER_tKrAQ2YFrp4JKdBU-7R9fOeRjCj1nIwDzDYlfI4FXDU3zrO7_4Tcpmk0vUjfyH1s_72QYPHE0CvxPikQ9h04NW67g4v2jOyyEV3QcNPMfXjDhZwpMdzYL_A-XbziFVw9M8_rgqvtlP9wLMlxgpwdWP-ZsXCEkNVWrBcoDNdAWWE_v_bGm_WBv2lguFWql/
Sticker | My Other Awp,High Grade,http://cdn.steamcommunity.com/economy/image/BRQAHw8tL-HN2YsxVMjOdb1Yyq5LXSGhGRdYK7AuhtLMHzfkVjFp820Al89yqJL7pV-R6UJCIaUfHF85sTiR2MNdNP9IN3Dze13bw3Dqnv67RcqnQUMhowgbVDjBPIXH8h4m-UYxNfU_HMHFfLOXu-EbirwQRDn9RUZSffhrltOaSyO8FWV-929MlZAq5ZalpULZ/
Sticker | Shave Master,High Grade,http://cdn.steamcommunity.com/economy/image/jDaJJ8gtiKg7rJWDGqut7zR6Q5aMXYbo72JGmf5N5UhFPb7ckTHOupt1iX08y_FhLH0Y0YVChuzpaUGL_1vyQkp_vcePN9e6jSjFcT6J_WQyZ0OfhkOG9uJnWZ29X-JZQSKR34cm27rRP4gmY9CpIm08DtHTQJzj7zQdzeMMoBwVZquL1jKE6ppjiCpo1_V3PiBHiNE=/
Sticker | Rising Skull,High Grade,http://cdn.steamcommunity.com/economy/image/soCcxl13pGIg8YD-uNnXdgrMVncZB6oi9D9T5Fw_n9F7i6s9BGvicIAonACeuYv4EssNMBAYqibyNFT2XSmI23TJqCYabftwlnXQDJz7h_0M0VZ-ExmqPPouVuktIIrGfYP1YUI7pnDVMZwKwfSPsVSMF2NFHbMspWML4UMt3NUr1rkxEW2kJdIxxkGD-I0=/
Sticker | Sneaky Beaky Like,High Grade,http://cdn.steamcommunity.com/economy/image/2HxIEHl9c0ld9gwBNlTacWAwgqE9DX0JiTjfG9KyktYRd3_rIGE1W_0vEP8QNIb_eDfZ5jQSfQ2PM9gJ06SF3B41fPA-Zyxb63Jc8xJ2ivpmLYKoNxN9F4I51xGFnoTWEXF22ztlNVn8LxekHy3V7T5wx-YxEDcG3WWGQp30hIJBf2q8ZTNzW68zQKgbeIa7bCXYoWlF/
Sticker | To B or not to B,High Grade,http://cdn.steamcommunity.com/economy/image/TNYe9hcRFlVttcvr1JJy6fSa1EdTYRgVuXsY8TB0Ok6F3SkNTg1QR81s1xXy8i5n7J2PAFp-GBG_cB_jMWItRIqfKhZQC0lH2zGbGfCwImLyh9ROWX8YDLNAE89xdRFFi8QGFlY3QH3FI8Yd-vMpJPrfmAdafFQeuC8VpyxmeRuFgThTXQsSQZt21kP-uypx_92YBQ8qGQiyeA==/
Sticker | Winged Defuser,High Grade,http://cdn.steamcommunity.com/economy/image/UbTdS_Vu3poUyGhduB2Lxen4F_qxHtDawAa7R1z7w2KYv-qwrHKYiLQRdKOefddL8f9MvbgB0N7GDbxVXe3UaJf96auydIGIokw4r5w_207v5RfzuwDQwMwMtUMW19Nin6fpuqlIhoyiWHLix2LSDrm6U-y_A57UkAO3ExO-jzXBtq-97HOO3bIIdK7FZYANsL4FvqVBkdA=/
Sticker | Howling Dawn,High Grade,http://cdn.steamcommunity.com/economy/image/pMuJf4ArlPN7POlOZDhHjByHQ87EW5qzr_I6VIDeDyttwL6E2TfS4dvl9bBCWBsCBIAYic1Emrep-T1GgcgYIWKCvZ_HMcvhzbi5vEAaFwcamkPHzkWatqXhP1zAyiQqbdqgtMIz0uPa5aTsHRFKEEbFVt3OEYzrr6NiApnLGHw_z_mJlmCTt4_zoesXEk1ETJYZzpAT/
Sticker | Teamwork (Holo),Remarkable,http://cdn.steamcommunity.com/economy/image/5UiCXvgdstbd6Mu0MfEjv10ESO-8bbyWCSYYrtUXaxgsQ7WloQH0xH0x10oXkX8xRQMTqLVyvJIPLR-81AF8EiMBtr6_B-3Ea2ybRhXTczRbGUjmtnO8jwkjHLiUFnQiJUGppYkI59N-epoVTd0tJwIVDqm2d6bMCXVJ_p5XKh4oGPbz5gDgkXsn1hQfiH14UxFdsfYs9A==/
Sticker | Harp of War (Holo),Remarkable,http://cdn.steamcommunity.com/economy/image/qb5a8uJEYen40-KTSgn-hBHykEOmNG-pLB0xia7vtiNgtW0Ju1gn-1gK_m1saaIKCfXLBK8rb60qFjabr_mhKW_3bhKlXj77TleyYW4rrg8X75BKrCpvrCgLKLfv-p0xYKpCCq1PMvsSQapnYHL6H0i03Ar6KHKnfxhq2rX9-yJn7S0ErQ0zrF8TqzI0d_pCGKiUXfs=/
Sticker | Headhunter (Foil),Exotic,http://cdn.steamcommunity.com/economy/image/qqSQSnb9m9gdK2VvLH8eshLoWvsyjZWYyeW2dciZVhVjr6exL-Hdyr3yeZEKH0I8Cu8BvDuSlZzP7rFnyY9BH2ztpKox58TKq681nQhdTjkU9VryOJOVncngu3yThFYVcJ2xsTHo8MO4rn2bSVQRdBurHL5pwIiUnOPuJITaE0A29u67YLzNn-m9eMxSCBp7H61MvTqMypvL/
Sticker | Flammable (Foil),Exotic,http://cdn.steamcommunity.com/economy/image/t1vc42pzq6J9xxo_r-7P7w8XFlIuA6XiqQnJJUsIh0h-UOsYM2_tsN0eBsGJjpNhFxBNFSccpeavAs43Sh6QQnES6AMtafSwy0NKzYvMn2QJChZbJB2l6aAMzSkEGZ9IQFv0HihV87TLVwCA1JGRdAIAAUQgHbi6_VzFfVVLxUt9WatHID6v4olTVJzSkMYjUVdSGjpc5Og=/
Sticker | New Sheriff (Foil),Exotic,http://cdn.steamcommunity.com/economy/image/ft4Jdw51uZAzd3WsENjy-caSw8ZKBbfQ57mmtvQ-ul631T6MV2n_gpOuaVI2uK533pWYgUMat9ThsqGk9SitVLiXPZdJb-aChfMlXjT6onLAj8PPQBu30-eqkKSyKLxSsN4RhU9l4bib4XhaPrmtNMyC04ZGGK-Ktr__5bkp9ljn23aCFTrp0cHlO1xjpfhhm4eDh0ccts3sug==/
Sticker | Swag (Foil),Exotic,http://cdn.steamcommunity.com/economy/image/xc-bBA9okvCc6GQIs5dwQH2DUbVLGJywSCa3EldxOOcMxKz_VnTU4jwxePaV9yzOZYQK8kIHnLROLbAAVmcv7QOGr-RIcs3iKmw0-pe1IMt7nlG8QQacrlojuSwfbSXuMsW94kZ0iLdgJij7mbt53XfGQPxHA4O7SCe8EkgyfrtUyrr1EXSV5m0tLa2cvHWQZZlC/
